Date,Adj Close,Close,High,Low,Open,Volume
02-01-2013,116.7990189,187.7151031,187.7151031,185.2772522,185.5544891,4428869
03-01-2013,116.1566086,186.6826019,187.6577454,185.8890991,187.0650024,3812356
04-01-2013,115.395195,185.4588928,185.9082184,184.3021088,185.6501007,3535689
07-01-2013,114.8895645,184.6462708,185.2581329,183.8814545,184.8948364,2993966
08-01-2013,114.7289352,184.3881378,184.7992401,183.173996,184.4359436,3166137
09-01-2013,114.4017639,183.8623352,184.9808807,183.2218018,184.9713135,3359752
10-01-2013,114.7349014,184.3977051,184.4741821,182.8680725,184.1778259,3774073
11-01-2013,115.6688843,185.8986664,186.424469,184.4168243,185.6118622,4058898
14-01-2013,114.5802307,184.1491394,184.7801208,183.3173981,184.3403473,4364121
15-01-2013,114.5088882,184.0344238,184.254303,182.0172119,182.8967438,4364017
16-01-2013,114.5624161,184.1204529,184.6845093,182.9349976,183.5564117,3099193
17-01-2013,115.1929474,185.1338501,185.9082184,184.7418671,185.3250427,4060154
18-01-2013,115.6807251,185.9177856,186.424469,185.2772522,185.4971313,4769342
22-01-2013,116.6384659,187.4569855,187.4569855,185.4780121,185.8126221,7502226
23-01-2013,121.7779236,195.7170105,199.4072723,194.4168243,194.5506744,13106903
24-01-2013,121.5995255,195.4302063,196.0420685,194.1491394,194.9426422,4651771
25-01-2013,121.9266891,195.9560242,196.1567841,195.1529694,195.4588928,3513409
28-01-2013,121.9028854,195.9177856,197.1510468,195.3059235,195.8412933,2953590
29-01-2013,121.2901764,194.933075,196.6826019,194.6845093,195.3537292,3783487
30-01-2013,121.0640869,194.5697937,195.8699799,194.254303,194.7323151,3136326
31-01-2013,120.7964478,194.1395721,195.4780121,194.0344238,194.3785858,3233604
01-02-2013,122.0515366,196.1567841,196.3193054,194.8757172,195.6501007,3525752
04-02-2013,121.2247467,194.8279114,196.00383,194.6175842,195.2103271,3335485
05-02-2013,120.6298676,193.8718872,195.745697,193.6042023,195.3250427,3804197
06-02-2013,120.080307,192.1797333,192.4378662,190.7839355,191.5774384,3790913
07-02-2013,119.3156586,190.9560242,192.0745697,189.9426422,191.7973175,3218228
08-02-2013,120.4745712,192.8106995,193.2026825,190.8986664,191.1759033,3026392
11-02-2013,119.5665665,191.3575592,193.0688324,190.9655762,192.1414948,3080156
12-02-2013,119.4949036,191.2428284,191.9120483,190.2676849,191.2141418,2575043
13-02-2013,119.5248184,191.2906342,192.1128082,190.7935028,191.826004,2269611
14-02-2013,119.26194,190.8699799,191.5105133,190.4971313,190.9464569,3445733
15-02-2013,120.0564346,192.1414948,192.3996124,191.0325012,191.1854706,3794679
