Date,Adj Close,Close,High,Low,Open,Volume
02-01-2013,16.68734169,19.60821342,19.8214283,19.34392929,19.77928543,560518000
03-01-2013,16.476717,19.36071396,19.63107109,19.3214283,19.56714249,352965200
04-01-2013,16.01775551,18.8214283,19.23678589,18.77964211,19.17749977,594333600
07-01-2013,15.92352772,18.71071434,18.90357018,18.39999962,18.6428566,484156400
08-01-2013,15.96639442,18.76107025,18.99607086,18.6160717,18.90035629,458707200
09-01-2013,15.71685696,18.46785736,18.75035667,18.42821312,18.6607132,407604400
10-01-2013,15.91167927,18.69678688,18.88285637,18.41142845,18.87678528,601146000
11-01-2013,15.81411171,18.58214378,18.76142883,18.53642845,18.6071434,350506800
14-01-2013,15.25029945,17.9196434,18.125,17.80392838,17.95285606,734207600
15-01-2013,14.76916409,17.35428619,17.82107162,17.26357079,17.79642868,876772400
16-01-2013,15.38220978,18.07464218,18.19428635,17.5892868,17.66571426,690804800
17-01-2013,15.27856636,17.95285606,18.2410717,17.92964363,18.22535706,453678400
18-01-2013,15.19711304,17.8571434,17.93642807,17.72857094,17.80428505,472922800
22-01-2013,15.34209061,18.02750015,18.13857079,17.73678589,18.02000046,461546400
23-01-2013,15.6229372,18.35750008,18.39249992,18.02750015,18.17178535,861509600
24-01-2013,13.6926012,16.0892868,16.63321495,16.0803566,16.4285717,1460852400
25-01-2013,13.36981106,15.71000004,16.29392815,15.53571415,16.13178635,1208026400
28-01-2013,13.67223454,16.06535721,16.1860714,15.56642914,15.63678646,785517600
29-01-2013,13.92875957,16.36678505,16.43571472,16.14714241,16.375,571158000
30-01-2013,13.88499069,16.31535721,16.52142906,16.2321434,16.3214283,417155200
31-01-2013,13.84426785,16.26749992,16.40285683,16.24928665,16.32071495,319334400
01-02-2013,13.78743267,16.20071411,16.40999985,16.01250076,16.39678574,539484400
04-02-2013,13.44397354,15.79714298,16.28357124,15.78571415,16.21107101,477117200
05-02-2013,13.91569328,16.35142899,16.41928673,15.79357147,15.85892868,573347600
06-02-2013,13.9007988,16.33392906,16.6607132,16.1635704,16.30249977,593706400
07-02-2013,14.31412697,16.72214317,16.7857132,16.21857071,16.5446434,704580800
08-02-2013,14.52078438,16.96357155,17.10035706,16.7232132,16.9285717,633158400
11-02-2013,14.67211246,17.14035606,17.31928635,16.9017868,17.0178566,517490400
12-02-2013,14.30434608,16.71071434,17.22785759,16.70499992,17.12535667,609053200
13-02-2013,14.27713299,16.67892838,16.91571426,16.54357147,16.6860714,475207600
14-02-2013,14.26429462,16.66392899,16.84428596,16.57214355,16.59000015,355275200
15-02-2013,14.06772137,16.43428612,16.79142952,16.42571449,16.74464226,391745200
19-02-2013,14.06252098,16.42821312,16.52607155,16.20892906,16.46785736,435783600
20-02-2013,13.72196007,16.03035736,16.34607124,16.02857018,16.34607124,476302400
21-02-2013,13.63666439,15.93071365,16.04178619,15.81499958,15.92857075,447182400
22-02-2013,13.78187847,16.10035706,16.12857056,15.94999981,16.0446434,330654800
